Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Sep 6,Bradley University,University of Nebraska,4,1,Win,-3.8,-0.81,-2.99,0.049,98.6,7.8,1.81,2.951,M2
Sep 6,East Texas Baptist University,University of North Texas,2,4,Loss,-1.72,0.56,-2.28,-1.629,54.5,3.72,3.44,1.629,M2
Sep 6,North Carolina State University,High Point University,8,2,Win,2.78,-0.5,3.28,0.471,85.4,5.22,2.5,2.529,M2
Sep 6,University of Missouri,Southern Illinois University Edwardsville,2,1,Win,-0.82,-1.76,0.93,1.467,51.2,2.82,2.76,1.533,M2
Sep 6,University of Kentucky,University of Colorado,0,2,Loss,-5.85,-0.61,-5.24,-2.629,88.6,5.85,2.61,2.629,M2
Sep 7,East Texas Baptist University,University of North Texas,3,5,Loss,-0.72,1.56,-2.28,-1.629,54.5,3.72,3.44,1.629,M2
Sep 7,Bradley University,University of Nebraska,7,0,Win,-0.8,-1.81,1.01,0.049,98.6,7.8,1.81,2.951,M2
Sep 7,University of Missouri,Southern Illinois University Edwardsville,2,1,Win,-0.82,-1.76,0.93,1.467,51.2,2.82,2.76,1.533,M2
Sep 7,University of Kentucky,University of Colorado,7,1,Win,1.15,-1.61,2.76,0.371,88.6,5.85,2.61,2.629,M2
Sep 11,Concordia University of Wisconsin,Milwaukee School of Engineering,4,0,Win,-0.7,-1.13,0.43,0.177,95,4.7,1.13,2.823,M2
Sep 12,Illinois State University,University of Illinois,5,1,Win,2.53,-1.78,4.31,1.662,44.2,2.47,2.78,1.338,M2
Sep 12,Liberty University,University of Delaware,8,1,Win,2.75,-0.17,2.92,0.13,96.3,5.25,1.17,2.87,M2
Sep 13,Liberty University,University of Delaware,5,0,Win,-0.25,-1.17,0.92,0.13,96.3,5.25,1.17,2.87,M2
Sep 13,Saint Josephs University,Rowan University,3,4,Loss,-0.12,-0.9,0.78,-0.782,25,3.12,4.9,0.782,M2
Sep 13,Michigan State University,University of Michigan,2,1,OT Win,-2.1,-1.24,-0.86,0.058,65.7,3.1,2.24,1.942,M2
Sep 13,Virginia Tech,North Carolina State University,2,3,Loss,-1.42,0.16,-1.58,-1.779,59.9,3.42,2.84,1.779,M2
Sep 13,University of Illinois,Illinois State University,4,0,Win,1.1,-2.37,3.47,1.222,59.9,2.9,2.37,1.778,M2
Sep 13,Denison University,Ohio University,0,7,Loss,-1.75,1.72,-3.47,-0.247,7.3,1.75,5.28,0.247,M2
Sep 13,Texas A&M University,Oklahoma State University,6,1,Win,0.04,-0.37,0.42,0.106,97,5.96,1.37,2.894,M2
Sep 13,University of Arkansas,Southern Illinois University Edwardsville,3,4,Loss,-1.05,1.76,-2.81,-2.309,78.2,4.05,2.24,2.309,M2
Sep 13,Baylor University,Texas Christian University,5,11,Loss,1.98,3.02,-1.04,-0.152,4.5,3.02,7.98,0.152,M2
Sep 13,Idaho State University,Boise State University,0,14,Loss,-0.98,3.2,-4.18,-0,0,0.98,10.8,0,M2
Sep 13,Utah Valley University,Montana Tech,20,2,Win,11.03,-0.23,11.27,0.03,99.2,8.97,2.23,2.97,M2
Sep 13,Weber State University,Utah State University ,1,4,Loss,-4.49,-0.04,-4.45,-2.057,69.4,5.49,4.04,2.057,M2
Sep 13,DePaul University,Northern Michigan University,5,1,Win,0.7,-1.64,2.34,0.783,75.1,4.3,2.64,2.217,M2
Sep 13,University of Cincinnati,University of Wisconsin Milwaukee,16,1,Win,7.92,-0.26,8.18,0.017,99.5,8.08,1.26,2.983,M2
Sep 13,University of Denver,Colorado State University,6,2,Win,-2.76,-0.98,-1.79,0.082,97.6,8.76,2.98,2.918,M2
Sep 13,University of North Carolina Wilmington,University of North Carolina Charlotte,6,3,Win,0.13,0.79,-0.66,0.268,92,5.87,2.21,2.732,M2
Sep 13,University of Louisville,East Texas Baptist University,3,4,OT Loss,-4.52,1.12,-5.65,-1.934,98.1,7.52,1.88,2.934,M2
Sep 13,Metropolitan State University Denver,University of Colorado,6,3,Win,0.43,-2.67,3.1,1.539,48.6,5.57,5.67,1.461,M2
Sep 13,California State University Fullerton,University of Southern California,2,12,Loss,-0.12,7.77,-7.89,-0.586,18.2,2.12,4.23,0.586,M2
Sep 13,Loyola Marymount University,University of Texas,6,4,Win,2.12,-0.2,2.32,1.636,45.2,3.88,4.2,1.364,M2
Sep 13,University of Kentucky,Penn State University,4,1,Win,1.09,-1.76,2.85,1.423,52.7,2.91,2.76,1.577,M2
Sep 14,University of Cincinnati,University of Wisconsin Milwaukee,3,2,Win,-5.08,0.74,-5.82,0.017,99.5,8.08,1.26,2.983,M2
Sep 14,University of Arkansas,Southern Illinois University Edwardsville,4,2,Win,-0.05,-0.24,0.19,0.691,78.2,4.05,2.24,2.309,M2
Sep 14,DePaul University,Northern Michigan University,7,0,Win,2.7,-2.64,5.34,0.783,75.1,4.3,2.64,2.217,M2
Sep 14,University of Delaware,Georgetown University,1,2,OT Loss,-3.72,-6.95,3.24,0.527,14.9,4.72,7.95,0.473,M2
Sep 14,University of Colorado,University of Denver,8,3,Win,2.19,-1.59,3.78,1.042,65.9,5.81,4.59,1.958,M2
Sep 14,University of Louisville,Penn State University,3,4,OT Loss,-0.27,-0.39,0.11,-0.447,48.1,3.27,3.39,1.447,M2
