Date,Team,Opp.,GF,GA,Result,GFax,GAax,GDax,PTSax,Win Prob.,xGF,xGA,xPts,Lg.
Sep 22,Georgetown University,University of Pennsylvania,0,3,Loss,-4.18,-6.77,2.59,-0.099,3,4.18,9.77,0.099,W2
Sep 22,Miami University,Northern Michigan University,0,10,Loss,-3.72,2.57,-6.29,-0.349,10.8,3.72,7.43,0.349,W2
Sep 23,Miami University,Northern Michigan University,2,6,Loss,-1.72,-1.43,-0.29,-0.349,10.8,3.72,7.43,0.349,W2
Sep 23,Villanova University,University of Pittsburgh,11,1,Win,2.22,-1.83,4.05,0.07,98,8.78,2.83,2.93,W2
Sep 23,George Washington University,University of Pennsylvania,0,10,Loss,-1.86,-1.57,-0.3,-0,0,1.86,11.57,0,W2
Sep 24,Villanova University,University of Pittsburgh,8,0,Win,-0.78,-2.83,2.05,0.07,98,8.78,2.83,2.93,W2
Sep 24,University of Delaware,West Chester University,15,0,Win,3.27,-1.37,4.65,0,100,11.73,1.37,3,W2
Sep 24,University of Maryland,Rowan University,2,3,Loss,-5.59,-1.43,-4.16,-2.517,84.8,7.59,4.43,2.517,W2
Sep 24,Saint Anselm College,College of the Holy Cross,8,5,Win,-1.85,1.98,-3.82,0.029,99.2,9.85,3.02,2.971,W2
Sep 28,Miami University,Bowling Green State University,4,2,Win,-2.53,-3,0.47,0.95,69,6.53,5,2.05,W2
Sep 29,Liberty University,Rowan University,6,0,Win,-2.91,-3,0.1,0.075,97.8,8.91,3,2.925,W2
Sep 29,Miami University,Bowling Green State University,1,2,OT Loss,-5.53,-4,-1.53,-1.05,69,6.53,5,2.05,W2
Sep 29,Villanova University,University of Maryland,7,2,Win,-0.76,-1.12,0.37,0.191,94.2,7.76,3.12,2.809,W2
Sep 29,Northeastern University,Harvard University,4,1,Win,-3.27,-1.52,-1.75,0.155,95.4,7.27,2.52,2.845,W2
Sep 29,University Of Connecticut,Assumption University,2,7,Loss,-0.84,-0.98,0.14,-0.13,3.9,2.84,7.98,0.13,W2
Sep 29,The Ohio State University,University of Pittsburgh,7,1,Win,-1.4,-3.75,2.35,0.385,88,8.4,4.75,2.615,W2
Sep 30,Liberty University,Rowan University,5,0,Win,-3.91,-3,-0.9,0.075,97.8,8.91,3,2.925,W2
Sep 30,Northeastern University,Saint Anselm College,6,2,Win,-2.72,-1.78,-0.94,0.168,94.9,8.72,3.78,2.832,W2
Sep 30,Boston University,Merrimack College,7,3,Win,0.37,-0.73,1.11,0.518,83.7,6.63,3.73,2.482,W2
Sep 30,West Virginia University ,University of Pittsburgh,3,4,Loss,-3.35,-3.73,0.38,-1.015,33.2,6.35,7.73,1.015,W2
Sep 30,Rochester Institute Of Technology,The Ohio State University,1,14,Loss,-0.74,2.47,-3.22,-0,0,1.74,11.53,0,W2
Sep 30,Central Michigan University,Northern Michigan University,3,1,Win,-3.41,-4.54,1.13,1.184,61,6.41,5.54,1.816,W2
Oct 1,SUNY Cortland,Niagara University,1,6,Loss,-2.73,-3.75,1.02,-0.068,2,3.73,9.75,0.068,W2
Oct 1,Central Michigan University,Northern Michigan University,6,4,Win,-0.41,-1.54,1.13,1.184,61,6.41,5.54,1.816,W2
Oct 1,Harvard University,Assumption University,2,4,Loss,-1.13,-2.23,1.1,-0.436,13.6,3.13,6.23,0.436,W2
Oct 1,United States Naval Academy,University of Pennsylvania,4,0,Win,-6.5,-4.58,-1.92,0.065,98.1,10.5,4.58,2.935,W2
Oct 1,Rochester Institute Of Technology,Oswego State University,6,12,Loss,0.48,5.37,-4.89,-1.101,36.2,5.52,6.63,1.101,W2
Oct 1,University of Delaware,Villanova University,3,4,Loss,-2.6,-1.48,-1.12,-1.545,51.6,5.6,5.48,1.545,W2
Oct 1,College of the Holy Cross,Boston University,2,8,Loss,-1.35,-0.47,-0.88,-0.143,4.3,3.35,8.47,0.143,W2
Oct 1,Providence College,University Of Connecticut,5,2,Win,-3.56,-0.3,-3.27,0.047,98.7,8.56,2.3,2.953,W2
Oct 1,Aurora University,Lawrence Technological University,0,4,Loss,-5.89,-5.44,-0.45,-0.394,12.3,5.89,9.44,0.394,W2
Oct 6,Michigan State University,Central Michigan University,4,3,Win,-0.56,-5.03,4.47,2.581,13.1,4.56,8.03,0.419,W2
Oct 6,Miami University,Maryville University,1,1,Tie,-7.37,-2.67,-4.7,-1.304,94.1,8.37,3.67,2.804,W2
Oct 6,Boston College,University of New Hampshire,5,1,Win,-3.46,-2.45,-1.01,0.156,95.3,8.46,3.45,2.844,W2
Oct 7,Boston University,Harvard University,7,3,Win,2.05,-2.01,4.07,1.526,49.1,4.95,5.01,1.474,W2
Oct 7,SUNY Cortland,Oswego State University,13,1,Win,3.31,-1.92,5.23,0.031,99.1,9.69,2.92,2.969,W2
Oct 7,Montclair State University,West Chester University,12,8,Win,1.54,-0.68,2.22,0.776,75.3,10.46,8.68,2.224,W2
Oct 7,Miami University,Maryville University,1,2,OT Loss,-7.37,-2.67,-4.7,-1.804,94.1,8.37,3.67,2.804,W2
Oct 7,University of Wisconsin Eau Claire,University of Nebraska,19,4,Win,10.24,2.44,7.8,0.014,99.6,8.76,1.56,2.986,W2
Oct 7,University Of Connecticut,University of New Hampshire,4,2,Win,-0.91,-3.43,2.52,1.699,43.1,4.91,5.43,1.301,W2
Oct 7,Central Michigan University,Michigan State University,7,1,Win,-1.48,-3.2,1.71,0.263,91.9,8.48,4.2,2.737,W2
Oct 7,University of Minnesota Duluth,North Dakota State University,2,1,Win,-3.44,-7.14,3.7,2.387,19.6,5.44,8.14,0.613,W2
Oct 7,University of Notre Dame,Adrian College,1,5,Loss,-2.32,-2.3,-0.02,-0.288,8.8,3.32,7.3,0.288,W2
Oct 7,Liberty University,University of Maryland,4,0,Win,-3.02,-3.54,0.52,0.385,88,7.02,3.54,2.615,W2
Oct 8,University of Minnesota Duluth,North Dakota State University,3,2,OT Win,-3.44,-6.14,2.7,1.387,19.6,5.44,8.14,0.613,W2
Oct 8,University of Wisconsin Eau Claire,University of Nebraska,13,0,Win,4.24,-1.56,5.8,0.014,99.6,8.76,1.56,2.986,W2
Oct 8,Liberty University,University of Maryland,2,1,OT Win,-6.02,-2.54,-3.48,-0.615,88,7.02,3.54,2.615,W2
Oct 8,Harvard University,University of New Hampshire,8,1,Win,2.62,-3.03,5.65,0.976,68.3,5.38,4.03,2.024,W2
Oct 8,The Ohio State University,University at Buffalo,9,0,Win,-1.7,-3,1.29,0.007,99.8,10.7,3,2.993,W2
Oct 8,University of Delaware,University of Pennsylvania,10,1,Win,-0.61,-3.37,2.76,0.046,98.7,10.61,4.37,2.954,W2
Oct 8,Adrian College,University of Notre Dame,8,2,Win,0.22,-1.05,1.27,0.178,94.7,7.78,3.05,2.822,W2
Oct 13,Sault College,Adrian College,8,3,Win,-1.91,0.07,-1.98,0.024,99.3,9.91,2.93,2.976,W2
