game_id,homeG,awayG,status,home,away,phase,prop_date
22057,3,1,Final,University_of_North_Carolina_Chapel_Hill,Wake_Forest_University,Regular,2024-8-31
20197,4,1,Final,Bradley_University,University_of_Nebraska,Regular,2024-9-6
24128,4,3,Final,University_of_North_Carolina_Wilmington,East_Carolina_University,Regular,2024-9-6
19486,2,4,Final,East_Texas_Baptist_University,University_of_North_Texas,Regular,2024-9-6
20721,8,2,Final,North_Carolina_State_University,High_Point_University,Regular,2024-9-6
20351,2,1,Final,University_of_Missouri,Southern_Illinois_University_Edwardsville,Regular,2024-9-6
22521,4,2,Final,George_Washington_University,University_of_Richmond,Regular,2024-9-6
22058,4,2,Final,University_of_North_Carolina_Chapel_Hill,University_of_South_Carolina,Regular,2024-9-6
21039,0,2,Final,University_of_Kentucky,University_of_Colorado,Regular,2024-9-6
19487,3,5,Final,East_Texas_Baptist_University,University_of_North_Texas,Regular,2024-9-7
20198,7,0,Final,Bradley_University,University_of_Nebraska,Regular,2024-9-7
22059,4,5,Final,University_of_North_Carolina_Chapel_Hill,University_of_South_Carolina,Regular,2024-9-7
20352,2,1,Final,University_of_Missouri,Southern_Illinois_University_Edwardsville,Regular,2024-9-7
21903,2,4,Final,University_of_North_Carolina_Wilmington,East_Carolina_University,Regular,2024-9-7
21040,7,1,Final,University_of_Kentucky,University_of_Colorado,Regular,2024-9-7
21580,4,0,Final,Concordia_University_of_Wisconsin,Milwaukee_School_of_Engineering,Regular,2024-9-11
19512,5,1,Final,Illinois_State_University,University_of_Illinois,Regular,2024-9-12
21787,8,1,Final,Liberty_University,University_of_Delaware,Regular,2024-9-12
23831,6,4,Final,Elon_University,Duke_University,Regular,2024-9-13
23835,6,8,Final,Gonzaga_University,Washington_State_University,Regular,2024-9-13
21788,5,0,Final,Liberty_University,University_of_Delaware,Regular,2024-9-13
22720,2,1,Final SO,Michigan_State_University,University_of_Michigan,Regular,2024-9-13
22402,3,4,Final,Saint_Josephs_University,Rowan_University,Regular,2024-9-13
21816,2,3,Final,Virginia_Tech,North_Carolina_State_University,Regular,2024-9-13
22239,4,0,Final,University_of_Illinois,Illinois_State_University,Regular,2024-9-13
23092,2,5,Final,University_of_Virginia,University_of_Richmond,Regular,2024-9-13
21444,0,7,Final,Denison_University,Ohio_University,Regular,2024-9-13
20133,6,1,Final,Texas_A&M_University,Oklahoma_State_University,Regular,2024-9-13
19527,3,0,Visiting Forfeit,University_of_Arkansas,Southern_Illinois_University_Edwardsville,Regular,2024-9-13
20115,5,11,Final,Baylor_University,Texas_Christian_University,Regular,2024-9-13
22829,0,14,Final,Idaho_State_University,Boise_State_University,Regular,2024-9-13
21849,20,2,Final,Utah_Valley_University,Montana_Tech,Regular,2024-9-13
21470,1,4,Final,Weber_State_University,Utah_State_University_,Regular,2024-9-13
21012,16,1,Final,University_of_Cincinnati,University_of_Wisconsin_Milwaukee,Regular,2024-9-13
22115,5,1,Final,DePaul_University,Northern_Michigan_University,Regular,2024-9-13
20838,6,2,Final,University_of_Denver,Colorado_State_University,Regular,2024-9-13
21904,6,3,Final,University_of_North_Carolina_Wilmington,University_of_North_Carolina_Charlotte,Regular,2024-9-13
20238,3,4,Final SO,University_of_Louisville,East_Texas_Baptist_University,Regular,2024-9-13
20812,6,3,Final,Metropolitan_State_University_Denver,University_of_Colorado,Regular,2024-9-13
22088,2,12,Final,California_State_University_Fullerton,University_of_Southern_California,Regular,2024-9-13
19281,6,4,Final,Loyola_Marymount_University,University_of_Texas,Regular,2024-9-13
21041,4,1,Final,University_of_Kentucky,Penn_State_University,Regular,2024-9-13
23836,2,4,Final,Gonzaga_University,Washington_State_University,Regular,2024-9-14
21013,3,2,Final,University_of_Cincinnati,University_of_Wisconsin_Milwaukee,Regular,2024-9-14
19528,4,2,Final,University_of_Arkansas,Southern_Illinois_University_Edwardsville,Regular,2024-9-14
22116,7,0,Final,DePaul_University,Northern_Michigan_University,Regular,2024-9-14
22910,1,2,Final SO,University_of_Delaware,Georgetown_University,Regular,2024-9-14
20822,8,3,Final,University_of_Colorado,University_of_Denver,Regular,2024-9-14
20239,3,4,Final SO,University_of_Louisville,Penn_State_University,Regular,2024-9-14
20134,8,2,Final,Texas_A&M_University,Oklahoma_State_University,Regular,2024-9-14
21445,6,4,Final,Denison_University,Lewis_University,Regular,2024-9-14
21621,8,4,Final,Virginia_Tech,James_Madison_University,Regular,2024-9-14
22830,1,20,Final,Idaho_State_University,Boise_State_University,Regular,2024-9-14
21850,7,2,Final,Utah_Valley_University,Montana_Tech,Regular,2024-9-14
21905,5,1,Final,University_of_North_Carolina_Wilmington,University_of_North_Carolina_Charlotte,Regular,2024-9-14
21739,14,1,Final,Eastern_Washington_University,University_of_Idaho,Regular,2024-9-14
22089,9,5,Final,California_State_University_Fullerton,University_of_Southern_California,Regular,2024-9-14
22263,4,8,Final,California_State_University_Northridge,University_of_Texas,Regular,2024-9-14
21042,6,0,Final,University_of_Kentucky,East_Texas_Baptist_University,Regular,2024-9-14
21446,6,2,Final,Denison_University,Lewis_University,Regular,2024-9-15
20240,4,5,Final,University_of_Louisville,Penn_State_University,Regular,2024-9-15
22264,3,6,Final,California_State_University_Northridge,University_of_Texas,Regular,2024-9-15
