game_id,homeG,awayG,status,home,away,phase,prop_date
13532,5,2,Final,University_of_Michigan_Dearborn,Concordia_University_Ann_Arbor,Regular,2023-9-22
13551,3,2,Final,McKendree_University,Maryville_University,Regular,2023-9-22
12713,5,4,Final,Maryville_University,McKendree_University,Regular,2023-9-23
15072,2,5,Final,Arizona_State_University,Maryville_University,Regular,2023-9-28
12783,6,2,Final,Indiana_Tech,Lake_Superior_State_University,Regular,2023-9-29
13658,3,1,Final,Midland_University,Minot_State_University,Regular,2023-9-29
13675,2,3,Final,University_of_Massachusetts_Amherst,Penn_State_University,Regular,2023-9-29
12728,2,5,Final,Concordia_University_Ann_Arbor,University_of_Michigan,Regular,2023-9-29
15073,2,1,Final,Arizona_State_University,Maryville_University,Regular,2023-9-29
14923,5,1,Final,University_of_Denver,Colorado_State_University,Regular,2023-9-29
12738,0,4,Final,Montana_State_University,University_of_Utah,Regular,2023-9-29
13676,2,0,Final,University_of_Massachusetts_Amherst,Penn_State_University,Regular,2023-9-30
12784,5,1,Final,Indiana_Tech,Lake_Superior_State_University,Regular,2023-9-30
14912,3,1,Final,University_of_Michigan,Michigan_State_University,Regular,2023-9-30
13659,4,0,Final,Midland_University,Minot_State_University,Regular,2023-9-30
15102,2,5,Final,Grand_Canyon_University,Maryville_University,Regular,2023-9-30
13533,9,0,Final,Adrian_College,Lindenwood_University,Regular,2023-9-30
14820,0,4,Final,Miami_University,Niagara_University,Regular,2023-9-30
15081,5,1,Final,Colorado_State_University,University_of_Denver,Regular,2023-9-30
12739,1,13,Final,Montana_State_University,University_of_Utah,Regular,2023-9-30
14821,3,4,Final OT,Miami_University,Niagara_University,Regular,2023-10-1
15103,2,9,Final,Grand_Canyon_University,Maryville_University,Regular,2023-10-1
13534,9,0,Final,Adrian_College,Lindenwood_University,Regular,2023-10-1
13660,4,1,Final,Midland_University,University_of_Jamestown,Regular,2023-10-5
14924,1,3,Final,University_of_Denver,Michigan_State_University,Regular,2023-10-5
14935,3,2,Final,Liberty_University,McKendree_University,Regular,2023-10-6
14822,0,5,Final,Miami_University,Maryville_University,Regular,2023-10-6
12764,3,1,Final,University_of_Jamestown,Grand_Canyon_University,Regular,2023-10-6
15052,3,2,Final,Penn_State_University,University_of_Rhode_Island,Regular,2023-10-6
14681,1,8,Final,Davenport_University,Indiana_Tech,Regular,2023-10-6
14864,1,0,Final,Grand_Valley_State_University,Adrian_College,Regular,2023-10-6
15082,3,3,Final OT,Colorado_State_University,Michigan_State_University,Regular,2023-10-6
14925,5,3,Final,University_of_Denver,Montana_State_University,Regular,2023-10-6
14823,1,2,Final,Miami_University,Maryville_University,Regular,2023-10-7
15053,5,3,Final,Penn_State_University,University_of_Rhode_Island,Regular,2023-10-7
14936,7,0,Final,Liberty_University,McKendree_University,Regular,2023-10-7
14926,10,3,Final,University_of_Denver,Montana_State_University,Regular,2023-10-7
12785,13,1,Final,Indiana_Tech,Davenport_University,Regular,2023-10-7
13661,11,0,Final,Midland_University,Grand_Canyon_University,Regular,2023-10-7
13403,0,12,Final,University_of_Wyoming,Colorado_State_University,Regular,2023-10-7
14487,0,3,Final,University_of_Colorado,Michigan_State_University,Regular,2023-10-7
14568,1,4,Final,Lake_Superior_State_University,University_of_Michigan,Regular,2023-10-7
13535,7,1,Final,Adrian_College,Grand_Valley_State_University,Regular,2023-10-7
14488,4,0,Final,University_of_Colorado,Montana_State_University,Regular,2023-10-8
13404,1,9,Final,University_of_Wyoming,Colorado_State_University,Regular,2023-10-8
14569,2,4,Final,Lake_Superior_State_University,University_of_Michigan,Regular,2023-10-8
14824,2,5,Final,Miami_University,McKendree_University,Regular,2023-10-8
13662,12,1,Final,Midland_University,Grand_Canyon_University,Regular,2023-10-8
15649,0,4,Final,University_of_Rhode_Island,Midland_University,Regular,2023-10-12
13552,4,1,Final,McKendree_University,University_of_Michigan_Dearborn,Regular,2023-10-13
12746,2,5,Final,Minot_State_University,Liberty_University,Regular,2023-10-13
13677,2,5,Final,University_of_Massachusetts_Amherst,Midland_University,Regular,2023-10-13
14913,3,1,Final,University_of_Michigan,Grand_Valley_State_University,Regular,2023-10-13
14722,1,2,Final OT,Michigan_State_University,Indiana_Tech,Regular,2023-10-13
14771,1,2,Final,Aquinas_College,Davenport_University,Regular,2023-10-13
12765,6,1,Final,University_of_Jamestown,University_of_Colorado,Regular,2023-10-13
12740,5,2,Final,Montana_State_University,University_of_Wyoming,Regular,2023-10-13
15074,3,2,Final,Arizona_State_University,University_of_Utah,Regular,2023-10-13
13678,1,3,Final,University_of_Massachusetts_Amherst,Midland_University,Regular,2023-10-14
12786,6,0,Final,Indiana_Tech,Michigan_State_University,Regular,2023-10-14
14682,1,2,Final,Davenport_University,Aquinas_College,Regular,2023-10-14
12766,4,2,Final,University_of_Jamestown,University_of_Colorado,Regular,2023-10-14
12747,3,2,Final OT,Minot_State_University,Liberty_University,Regular,2023-10-14
12741,6,1,Final,Montana_State_University,University_of_Wyoming,Regular,2023-10-14
15092,7,1,Final,University_of_Minnesota,Concordia_University_Ann_Arbor,Regular,2023-10-14
15267,2,0,Final,Maryville_University,University_of_Michigan_Dearborn,Regular,2023-10-14
15538,2,5,Final,Lindenwood_University,McKendree_University,Regular,2023-10-14
15075,7,1,Final,Arizona_State_University,University_of_Utah,Regular,2023-10-14
15093,8,5,Final,University_of_Minnesota,Concordia_University_Ann_Arbor,Regular,2023-10-15
15268,4,1,Final,Maryville_University,University_of_Michigan_Dearborn,Regular,2023-10-15
15539,1,2,Final,Lindenwood_University,McKendree_University,Regular,2023-10-15
13001,3,2,Final,University_of_Michigan_Dearborn,Penn_State_University,Regular,2023-10-20
13553,12,1,Final,McKendree_University,University_of_Colorado,Regular,2023-10-20
12748,4,3,Final OT,Minot_State_University,Lake_Superior_State_University,Regular,2023-10-20
14671,3,2,Final OT,University_of_Utah,Colorado_State_University,Regular,2023-10-20
13099,-,-,7:30 pm EDT,Niagara_University,Indiana_Tech,Regular,2023-10-20
12729,0,8,Final,Concordia_University_Ann_Arbor,Adrian_College,Regular,2023-10-20
14937,5,0,00:00 3rd,Liberty_University,University_of_Massachusetts_Amherst,Regular,2023-10-20
13002,-,-,1:00 pm EDT,University_of_Michigan_Dearborn,Penn_State_University,Regular,2023-10-21
14938,-,-,1:30 pm EDT,Liberty_University,University_of_Massachusetts_Amherst,Regular,2023-10-21
13100,-,-,3:00 pm EDT,Niagara_University,Indiana_Tech,Regular,2023-10-21
13554,-,-,3:15 pm CDT,McKendree_University,University_of_Colorado,Regular,2023-10-21
12749,-,-,3:45 pm CDT,Minot_State_University,Lake_Superior_State_University,Regular,2023-10-21
13536,-,-,7:00 pm EDT,Adrian_College,Concordia_University_Ann_Arbor,Regular,2023-10-21
14672,-,-,7:30 pm MDT,University_of_Utah,Colorado_State_University,Regular,2023-10-21
12767,-,-,1:00 pm CDT,University_of_Jamestown,Lake_Superior_State_University,Regular,2023-10-22
12787,-,-,3:00 pm EDT,Indiana_Tech,Minot_State_University,Regular,2023-10-26
15540,-,-,9:20 pm CDT,Lindenwood_University,Midland_University,Regular,2023-10-26
15094,-,-,10:30 pm CDT,University_of_Minnesota,University_of_Jamestown,Regular,2023-10-26
13003,-,-,3:00 pm EDT,University_of_Michigan_Dearborn,Niagara_University,Regular,2023-10-27
14865,-,-,4:30 pm EDT,Grand_Valley_State_University,Aquinas_College,Regular,2023-10-27
15095,-,-,5:00 pm CDT,University_of_Minnesota,University_of_Jamestown,Regular,2023-10-27
12788,-,-,7:00 pm EDT,Indiana_Tech,Minot_State_University,Regular,2023-10-27
14489,-,-,5:00 pm MDT,University_of_Colorado,Arizona_State_University,Regular,2023-10-27
12730,-,-,8:30 pm EDT,Concordia_University_Ann_Arbor,Michigan_State_University,Regular,2023-10-27
15104,-,-,7:00 pm MDT,Grand_Canyon_University,University_of_Utah,Regular,2023-10-27
12714,-,-,8:15 pm CDT,Maryville_University,Midland_University,Regular,2023-10-27
14490,-,-,9:00 am MDT,University_of_Colorado,Arizona_State_University,Regular,2023-10-28
14723,-,-,5:35 pm EDT,Michigan_State_University,Concordia_University_Ann_Arbor,Regular,2023-10-28
15083,-,-,3:45 pm MDT,Colorado_State_University,Arizona_State_University,Regular,2023-10-28
12715,-,-,5:15 pm CDT,Maryville_University,Midland_University,Regular,2023-10-28
13537,-,-,7:00 pm EDT,Adrian_College,Minot_State_University,Regular,2023-10-28
14491,-,-,5:00 pm MDT,University_of_Colorado,University_of_Denver,Regular,2023-10-28
13004,-,-,7:00 pm EDT,University_of_Michigan_Dearborn,Niagara_University,Regular,2023-10-28
14772,-,-,7:30 pm EDT,Aquinas_College,Grand_Valley_State_University,Regular,2023-10-28
15105,-,-,6:00 pm MDT,Grand_Canyon_University,University_of_Utah,Regular,2023-10-28
14683,-,-,9:30 pm EDT,Davenport_University,Lake_Superior_State_University,Regular,2023-10-28
15084,-,-,1:30 pm MDT,Colorado_State_University,Arizona_State_University,Regular,2023-10-29
13538,-,-,4:00 pm EDT,Adrian_College,Minot_State_University,Regular,2023-10-29
14914,-,-,4:00 pm EDT,University_of_Michigan,Niagara_University,Regular,2023-10-29
14684,-,-,4:30 pm EDT,Davenport_University,Lake_Superior_State_University,Regular,2023-10-29
15541,-,-,4:50 pm CDT,Lindenwood_University,Midland_University,Regular,2023-10-29
15054,-,-,1:00 am EDT,Penn_State_University,Concordia_University_Ann_Arbor,Regular,2023-11-3
13539,-,-,3:00 pm EDT,Adrian_College,Liberty_University,Regular,2023-11-3
12750,-,-,3:45 pm CDT,Minot_State_University,Maryville_University,Regular,2023-11-3
15106,-,-,4:00 pm MDT,Grand_Canyon_University,Arizona_State_University,Regular,2023-11-3
13679,-,-,6:20 pm EDT,University_of_Massachusetts_Amherst,Davenport_University,Regular,2023-11-3
13005,-,-,7:00 pm EDT,University_of_Michigan_Dearborn,Miami_University,Regular,2023-11-3
14773,-,-,7:00 pm EDT,Aquinas_College,Michigan_State_University,Regular,2023-11-3
15055,-,-,1:00 am EDT,Penn_State_University,Concordia_University_Ann_Arbor,Regular,2023-11-4
13680,-,-,12:20 pm EDT,University_of_Massachusetts_Amherst,Davenport_University,Regular,2023-11-4
14928,-,-,12:30 pm MDT,University_of_Denver,University_of_Colorado,Regular,2023-11-4
14825,-,-,4:00 pm EDT,Miami_University,University_of_Michigan_Dearborn,Regular,2023-11-4
12751,-,-,3:45 pm CDT,Minot_State_University,Maryville_University,Regular,2023-11-4
13663,-,-,4:00 pm CDT,Midland_University,McKendree_University,Regular,2023-11-4
15107,-,-,4:00 pm MDT,Grand_Canyon_University,Arizona_State_University,Regular,2023-11-4
13540,-,-,7:00 pm EDT,Adrian_College,Liberty_University,Regular,2023-11-4
14570,-,-,9:00 pm EDT,Lake_Superior_State_University,Niagara_University,Regular,2023-11-4
14826,-,-,12:30 pm EST,Miami_University,Liberty_University,Regular,2023-11-5
14724,-,-,12:35 pm EST,Michigan_State_University,Aquinas_College,Regular,2023-11-5
13664,-,-,12:00 pm CST,Midland_University,McKendree_University,Regular,2023-11-5
14571,-,-,1:00 pm EST,Lake_Superior_State_University,Niagara_University,Regular,2023-11-5
12768,-,-,1:00 pm CST,University_of_Jamestown,Maryville_University,Regular,2023-11-5
16522,-,-,1:00 pm CST,Lindenwood_University,University_of_Michigan,Regular,2023-11-10
13681,-,-,3:50 pm EST,University_of_Massachusetts_Amherst,University_of_Utah,Regular,2023-11-10
12789,-,-,4:30 pm EST,Indiana_Tech,Miami_University,Regular,2023-11-10
12752,-,-,3:45 pm CST,Minot_State_University,Midland_University,Regular,2023-11-10
13006,-,-,7:00 pm EST,University_of_Michigan_Dearborn,Davenport_University,Regular,2023-11-10
15056,-,-,7:30 pm EST,Penn_State_University,Michigan_State_University,Regular,2023-11-10
14866,-,-,8:00 pm EST,Grand_Valley_State_University,University_of_Minnesota,Regular,2023-11-10
13555,-,-,7:30 pm CST,McKendree_University,Adrian_College,Regular,2023-11-10
15085,-,-,7:45 pm MST,Colorado_State_University,Montana_State_University,Regular,2023-11-10
13682,-,-,11:20 am EST,University_of_Massachusetts_Amherst,University_of_Utah,Regular,2023-11-11
14827,-,-,1:00 pm EST,Miami_University,Indiana_Tech,Regular,2023-11-11
14572,-,-,4:00 pm EST,Lake_Superior_State_University,Grand_Valley_State_University,Regular,2023-11-11
14774,-,-,4:30 pm EST,Aquinas_College,University_of_Minnesota,Regular,2023-11-11
15076,-,-,2:35 pm MST,Arizona_State_University,Grand_Canyon_University,Regular,2023-11-11
12753,-,-,3:45 pm CST,Minot_State_University,Midland_University,Regular,2023-11-11
12716,-,-,5:00 pm CST,Maryville_University,Adrian_College,Regular,2023-11-11
14685,-,-,6:30 pm EST,Davenport_University,University_of_Michigan_Dearborn,Regular,2023-11-11
15542,-,-,8:30 pm CST,Lindenwood_University,University_of_Michigan,Regular,2023-11-11
13407,-,-,7:30 pm MST,University_of_Wyoming,Montana_State_University,Regular,2023-11-11
15057,-,-,9:00 am EST,Penn_State_University,Michigan_State_University,Regular,2023-11-12
13408,-,-,10:00 am MST,University_of_Wyoming,Montana_State_University,Regular,2023-11-12
14573,-,-,1:00 pm EST,Lake_Superior_State_University,Grand_Valley_State_University,Regular,2023-11-12
13556,-,-,1:15 pm CST,McKendree_University,University_of_Michigan,Regular,2023-11-12
12717,-,-,1:30 pm CST,Maryville_University,Adrian_College,Regular,2023-11-12
14686,-,-,2:30 pm EST,Davenport_University,Concordia_University_Ann_Arbor,Regular,2023-11-17
13557,-,-,2:00 pm CST,McKendree_University,Colorado_State_University,Regular,2023-11-17
13683,-,-,6:20 pm EST,University_of_Massachusetts_Amherst,Niagara_University,Regular,2023-11-17
14574,-,-,7:00 pm EST,Lake_Superior_State_University,University_of_Michigan_Dearborn,Regular,2023-11-17
14939,-,-,7:30 pm EST,Liberty_University,Maryville_University,Regular,2023-11-17
12790,-,-,8:00 pm EST,Indiana_Tech,Grand_Valley_State_University,Regular,2023-11-17
13684,-,-,11:20 am EST,University_of_Massachusetts_Amherst,Niagara_University,Regular,2023-11-18
14828,-,-,1:00 pm EST,Miami_University,Adrian_College,Regular,2023-11-18
14575,-,-,1:00 pm EST,Lake_Superior_State_University,University_of_Michigan_Dearborn,Regular,2023-11-18
14940,-,-,4:30 pm EST,Liberty_University,Maryville_University,Regular,2023-11-18
12731,-,-,5:00 pm EST,Concordia_University_Ann_Arbor,Davenport_University,Regular,2023-11-18
13665,-,-,4:00 pm CST,Midland_University,University_of_Minnesota,Regular,2023-11-18
14775,-,-,7:30 pm EST,Aquinas_College,University_of_Michigan,Regular,2023-11-18
14867,-,-,7:30 pm EST,Grand_Valley_State_University,Indiana_Tech,Regular,2023-11-18
12772,-,-,7:00 pm CST,University_of_Jamestown,Minot_State_University,Regular,2023-11-18
15543,-,-,8:40 pm CST,Lindenwood_University,Colorado_State_University,Regular,2023-11-18
15655,-,-,10:30 am EST,University_of_Rhode_Island,Niagara_University,Regular,2023-11-19
13666,-,-,12:00 pm CST,Midland_University,University_of_Minnesota,Regular,2023-11-19
15544,-,-,1:40 pm CST,Lindenwood_University,Colorado_State_University,Regular,2023-11-19
12773,-,-,2:00 pm CST,University_of_Jamestown,Minot_State_University,Regular,2023-11-19
13541,-,-,4:00 pm EST,Adrian_College,Miami_University,Regular,2023-11-19
13667,-,-,8:30 pm CST,Midland_University,Liberty_University,Regular,2023-11-30
15086,-,-,8:15 pm MST,Colorado_State_University,Grand_Canyon_University,Regular,2023-11-30
12732,-,-,6:00 pm EST,Concordia_University_Ann_Arbor,Indiana_Tech,Regular,2023-12-1
13668,-,-,5:00 pm CST,Midland_University,Liberty_University,Regular,2023-12-1
13101,-,-,6:30 pm EST,Niagara_University,Davenport_University,Regular,2023-12-1
14492,-,-,5:00 pm MST,University_of_Colorado,Grand_Canyon_University,Regular,2023-12-1
15656,-,-,7:00 pm EST,University_of_Rhode_Island,University_of_Massachusetts_Amherst,Regular,2023-12-1
14776,-,-,7:30 pm EST,Aquinas_College,University_of_Michigan_Dearborn,Regular,2023-12-1
15545,-,-,9:20 pm CST,Lindenwood_University,Maryville_University,Regular,2023-12-1
14725,-,-,12:35 pm EST,Michigan_State_University,Grand_Valley_State_University,Regular,2023-12-2
13102,-,-,2:30 pm EST,Niagara_University,Davenport_University,Regular,2023-12-2
12791,-,-,4:00 pm EST,Indiana_Tech,Concordia_University_Ann_Arbor,Regular,2023-12-2
15657,-,-,4:00 pm EST,University_of_Rhode_Island,University_of_Massachusetts_Amherst,Regular,2023-12-2
15087,-,-,2:20 pm MST,Colorado_State_University,Grand_Canyon_University,Regular,2023-12-2
12774,-,-,4:00 pm CST,University_of_Jamestown,Liberty_University,Regular,2023-12-2
13007,-,-,7:00 pm EST,University_of_Michigan_Dearborn,Aquinas_College,Regular,2023-12-2
13542,-,-,7:00 pm EST,Adrian_College,Penn_State_University,Regular,2023-12-2
15096,-,-,6:00 pm CST,University_of_Minnesota,Lake_Superior_State_University,Regular,2023-12-2
15546,-,-,9:00 pm CST,Lindenwood_University,Maryville_University,Regular,2023-12-2
