Lg.,Day,Home,Away
M1,Thu,McKendree_University,Maryville_University
M1,Fri,Oswego_State_University,Villanova_University
M1,Fri,Waldorf_University,University_of_Oklahoma
M1,Fri,West_Chester_University,West_Virginia_University
M1,Fri,William_Paterson_University,Canisius_University
M1,Fri,George_Mason_University,Towson_University
M1,Fri,Missouri_State_University,Illinois_State_University
M1,Fri,John_Carroll_University,Western_Michigan_University
M1,Fri,Duquesne_University,University_of_Pittsburgh
M1,Fri,Northern_Illinois_University,Kent_State_University
M1,Fri,University_of_Central_Oklahoma,University_of_Alabama
M1,Fri,Maryville_University,McKendree_University
M1,Fri,The_College_of_New_Jersey,Temple_University
M1,Sat,West_Chester_University,West_Virginia_University
M1,Sat,Oswego_State_University,Villanova_University
M1,Sat,Waldorf_University,University_of_Oklahoma
M1,Sat,Northern_Illinois_University,Kent_State_University
M1,Sat,John_Carroll_University,Western_Michigan_University
M1,Sat,Missouri_State_University,Illinois_State_University
M1,Sat,Towson_University,George_Mason_University
M1,Sat,Temple_University,The_College_of_New_Jersey
M1,Sat,University_of_Pittsburgh,Duquesne_University
M1,Sat,William_Paterson_University,Canisius_University
M1,Sat,University_of_Central_Oklahoma,University_of_Alabama
M2,Thu,Oklahoma_State_University,Drury_University
M2,Fri,Illinois_State_University,Bradley_University
M2,Fri,University_of_Michigan,Michigan_State_University
M2,Fri,Denison_University,University_of_Cincinnati
M2,Fri,Oklahoma_State_University,Drury_University
M2,Fri,University_of_Louisville,Southern_Illinois_University_Edwardsville
M2,Fri,Michigan_Technological_University,Lake_Superior_State_University
M2,Fri,East_Texas_Baptist_University,University_of_Texas
M2,Fri,Weber_State_University,University_of_Utah
M2,Fri,DePaul_University,Miami_University
M2,Fri,University_of_Wisconsin,Ohio_State_University
M2,Fri,University_of_North_Carolina_Wilmington,Millersville_University
M2,Fri,University_of_Kentucky,Boston_University
M2,Sat,University_of_Wisconsin,Ohio_State_University
M2,Sat,Michigan_Technological_University,Lake_Superior_State_University
M2,Sat,University_of_Louisville,Southern_Illinois_University_Edwardsville
M2,Sat,East_Texas_Baptist_University,University_of_Texas
M2,Sat,Bradley_University,University_of_Illinois
M2,Sat,DePaul_University,Miami_University
M2,Sat,Loyola_Marymount_University,California_State_University_Fullerton
M2,Sat,Utah_Valley_University,University_of_Utah
M2,Sat,Weber_State_University,Utah_State_University_
M2,Sat,University_of_North_Carolina_Wilmington,Millersville_University
M2,Sat,University_of_Kentucky,Boston_University
M2,Sun,University_of_Massachusetts_Lowell,College_of_The_Holy_Cross
M3,Fri,Davenport_University,Lake_Superior_State_University
M3,Fri,University_of_Kansas,Dordt_University
M3,Fri,Drake_University,University_of_Nebraska_at_Omaha
M3,Fri,Illinois_State_University,University_of_Missouri
M3,Fri,Missouri_State_University,East_Texas_Baptist_University
M3,Sat,Drake_University,University_of_Nebraska_at_Omaha
M3,Sat,Davenport_University,Lake_Superior_State_University
M3,Sat,Illinois_State_University,University_of_Missouri
M3,Sat,Missouri_State_University,East_Texas_Baptist_University
M3,Sat,University_of_Kansas,Dordt_University
